,0,1,2,3,4
0,0.15490457,-1.2674745,0.109316565,-1.283104,0.41428208
1,0.18607491,-1.3014822,0.010537818,-1.2471411,0.42804128
2,0.17946637,-1.2705528,0.089051835,-1.3165771,0.29339314
3,0.19049321,-1.2104995,0.059099883,-1.2438313,0.35845044
4,0.29905337,-1.2376695,-0.013216942,-1.2405195,0.422756
5,0.12044581,-1.2241502,0.03131374,-1.2627491,0.42320022
6,0.19233422,-1.2803932,0.1398125,-1.2060478,0.3457033
7,0.34185117,-1.3086973,0.046424326,-1.2751034,0.29973105
8,0.28197658,-1.2147475,0.05777835,-1.2886066,0.41318002
9,0.3156112,-1.163287,0.06629758,-1.310208,0.4035819
10,0.12201327,-1.2487437,0.096792504,-1.2383531,0.38321683
11,0.21745378,-1.2420125,0.010529025,-1.2314905,0.40853465
12,0.28586367,-1.2911996,0.116311595,-1.2126383,0.45549148
13,0.30811837,-1.1834401,0.03619661,-1.3172644,0.3898145
14,0.21809766,-1.3257626,0.12861627,-1.2431651,0.32745886
15,0.22615941,-1.1966274,-0.029555684,-1.2401009,0.4368831
16,0.23901919,-1.1970403,0.10473522,-1.2348107,0.3711259
17,0.23142174,-1.1946633,-0.016458925,-1.3479662,0.4123356
18,0.20815498,-1.2645749,0.10029945,-1.2162653,0.39305678
19,0.28173074,-1.2893472,-0.010821924,-1.3108766,0.4208838
20,0.2127957,-1.2937837,0.1525427,-1.2138218,0.28512478
21,0.12384049,-1.2625687,-0.02939668,-1.2902853,0.3169238
22,0.20293367,-1.1988342,0.03220646,-1.2521045,0.35329953
23,0.2546723,-1.2265483,0.008980469,-1.2938632,0.31608975
24,0.15677689,-1.2528371,0.08500158,-1.3055514,0.33472717
25,0.3321707,-1.1877096,0.13504645,-1.3348233,0.27926224
26,0.27382576,-1.2912301,0.11076903,-1.1710453,0.364019
27,0.24451284,-1.2706845,0.13181369,-1.2726837,0.39225972
28,0.1364748,-1.2727914,0.0546425,-1.3150369,0.26706856
29,0.33551356,-1.2069572,0.04315996,-1.2055213,0.43656874
30,0.17573076,-1.2073305,0.15502688,-1.3310372,0.28756633
31,0.22589119,-1.2412235,0.14583604,-1.2751691,0.35441306
32,0.19995686,-1.2071288,0.14853826,-1.2727381,0.31755486
33,0.3113395,-1.2471415,0.060527757,-1.2694694,0.28497326
34,0.23857492,-1.2440474,-0.007216724,-1.2221973,0.3770024
35,0.22612175,-1.2514601,-0.018219264,-1.2657342,0.30121207
36,0.12589525,-1.2522186,0.015286007,-1.1861655,0.44089687
37,0.2621784,-1.3103011,0.0066481163,-1.1683536,0.41766217
38,0.32633892,-1.177971,0.09250146,-1.243536,0.3575123
39,0.23278256,-1.2777426,0.15700458,-1.2473286,0.29527003
40,0.14185086,-1.297736,-0.0076138615,-1.2208033,0.26214352
41,0.32828256,-1.2461094,-0.033817794,-1.2904904,0.400132
42,0.3328079,-1.2443752,0.0897567,-1.2730043,0.30186924
43,0.16487384,-1.2802399,0.09640591,-1.2755859,0.28654408
44,0.20700063,-1.2807032,-0.0014436978,-1.2115271,0.44446835
45,0.1908556,-1.2443793,0.092043266,-1.1550068,0.36909878
46,0.21340133,-1.3206645,0.012125863,-1.1859732,0.35182557
47,0.17015532,-1.2690172,0.08950805,-1.2934849,0.27857462
48,0.14980584,-1.2767444,-0.0038294382,-1.3022492,0.27708519
49,0.3332587,-1.2383566,0.10534627,-1.215477,0.42588338
50,0.22807366,-1.1814837,0.064373665,-1.2042035,0.31113183
51,0.30625302,-1.2433975,0.0780127,-1.1714901,0.34920368
52,0.27029896,-1.2038105,0.048851736,-1.3391024,0.28923637
53,0.18041234,-1.3121063,0.124444105,-1.281401,0.26433253
54,0.3119857,-1.1485293,0.05520797,-1.2587172,0.3918165
55,0.12990484,-1.2799312,-0.006351756,-1.3413758,0.35493952
56,0.29172423,-1.2216952,0.011956122,-1.3351445,0.325181
57,0.2377357,-1.3161021,0.095520176,-1.2396811,0.30790627
58,0.16657667,-1.3335649,0.15282777,-1.2103199,0.32370418
59,0.2845009,-1.1510222,0.14595313,-1.2891734,0.30839318
60,0.2617961,-1.2454042,0.027332032,-1.2004517,0.43129745
61,0.16731463,-1.1928794,0.16158447,-1.3045864,0.30753756
62,0.19812274,-1.3100076,0.028273845,-1.2214084,0.28506142
63,0.30768967,-1.2877859,0.043473996,-1.2565409,0.38420647
64,0.29285103,-1.2927723,0.11011103,-1.2768952,0.26994866
65,0.24467373,-1.2850769,-0.038395375,-1.2073019,0.27938303
66,0.29237193,-1.2247164,0.068728484,-1.2390171,0.35710913
67,0.18061574,-1.2573038,0.010390638,-1.2995781,0.329182
68,0.18547256,-1.2768062,0.16543221,-1.2238814,0.26802602
69,0.21639587,-1.2174056,0.12240017,-1.2396811,0.37483054
70,0.20408955,-1.2503058,-0.011589512,-1.2311662,0.43661168
71,0.1555085,-1.2718743,0.08821132,-1.243508,0.33482635
72,0.24795328,-1.2271376,0.15446688,-1.2405925,0.33327115
73,0.26587555,-1.2010144,-0.017934462,-1.242223,0.44919598
74,0.18992218,-1.239939,0.021629544,-1.2665823,0.30314526
75,0.32550043,-1.1374424,0.02330969,-1.2895344,0.34317458
76,0.25503674,-1.1747928,0.14192016,-1.3106571,0.3175328
77,0.22473341,-1.2541108,0.10468756,-1.2747087,0.41128832
78,0.29770786,-1.2180552,-0.01844996,-1.2219741,0.30645925
79,0.25607145,-1.267234,-0.003518111,-1.1919732,0.45454153
80,0.18427698,-1.1934308,0.11780089,-1.2886258,0.36660162
81,0.21420027,-1.2979748,0.011764855,-1.2853619,0.34066647
82,0.26283425,-1.315276,0.062660836,-1.146242,0.38002515
83,0.17208603,-1.2477062,0.10575117,-1.1843572,0.42509618
84,0.18373692,-1.2862979,0.12556855,-1.2321548,0.2680008
85,0.28957272,-1.3330214,-0.021966144,-1.2646469,0.4414673
86,0.18101653,-1.1988882,-0.025565863,-1.2153498,0.3659478
87,0.1694129,-1.2119207,-0.017711593,-1.3190684,0.40511912
88,0.15326439,-1.1822748,0.030457431,-1.3016742,0.43706462
89,0.31204498,-1.2908543,-0.038340457,-1.1991168,0.4105366
90,0.30205983,-1.1077696,0.1416353,-1.2881157,0.37136605
91,0.26165915,-1.2957346,0.0009507206,-1.2720875,0.38986492
92,0.333023,-1.2899193,-0.028782561,-1.2133838,0.27601546
93,0.28068197,-1.2620223,-0.028876122,-1.2839724,0.4287657
94,0.2316784,-1.3504415,0.15665323,-1.3151405,0.2820403
