,0,1,2,3,4
0,0.30842373,-1.2676551,-0.251418,-1.1606061,0.2937317
1,0.2240094,-1.4332526,-0.14031622,-1.2082622,0.28957614
2,0.2137572,-1.3234887,-0.17897388,-1.0684605,0.32068557
3,0.19447957,-1.3752959,-0.21143208,-1.1663024,0.2258646
4,0.14978844,-1.3558091,-0.21258335,-1.1117283,0.3586617
5,0.13260926,-1.3631291,-0.23336975,-1.1316442,0.16631688
6,0.2231239,-1.4627526,-0.28057805,-1.104089,0.21324117
7,0.16984306,-1.3508965,-0.16401258,-1.1348913,0.34692365
8,0.222222,-1.4133087,-0.22924846,-1.0780088,0.33425546
9,0.14379998,-1.3435663,-0.19026548,-1.0616717,0.22080085
10,0.24285248,-1.3363504,-0.18084474,-1.0363562,0.3425111
11,0.21962808,-1.4534771,-0.241694,-1.1059248,0.24505998
12,0.3160693,-1.4071312,-0.32115313,-1.0538679,0.33969977
13,0.22883777,-1.3996766,-0.24821112,-1.0791215,0.24801844
14,0.17634484,-1.4288015,-0.2826491,-1.1368413,0.23109709
15,0.1570193,-1.352089,-0.27991453,-1.0849277,0.29720315
16,0.20347461,-1.350353,-0.2806376,-1.0714573,0.3148337
17,0.13721824,-1.4159087,-0.28865355,-1.0774902,0.17136192
18,0.17344601,-1.3091233,-0.24508217,-1.1905304,0.23695269
19,0.17171478,-1.4011635,-0.31926712,-1.149417,0.29912814
20,0.25050983,-1.3842726,-0.17854212,-1.0995718,0.24399759
21,0.20250252,-1.4002745,-0.29082805,-1.1221288,0.35975727
22,0.16106921,-1.3277622,-0.26496503,-1.1562928,0.29954997
23,0.21068342,-1.3964796,-0.14025782,-1.11889,0.37167814
24,0.22646701,-1.3655379,-0.293236,-1.1204207,0.16279125
25,0.32606208,-1.3487521,-0.27503988,-1.2208389,0.33694288
26,0.19427553,-1.382604,-0.26903468,-1.0470222,0.23683044
27,0.1464895,-1.3838775,-0.21749948,-1.1147164,0.25676915
28,0.26764598,-1.4182384,-0.2608369,-1.1202651,0.2879424
29,0.14405651,-1.3804648,-0.24585114,-1.1288333,0.19151425
30,0.23276018,-1.3377706,-0.28564355,-1.2010183,0.2270574
31,0.22181915,-1.3830396,-0.15623204,-1.0870299,0.20345597
32,0.21036454,-1.3350651,-0.1211659,-1.0789484,0.31605
33,0.24721253,-1.414884,-0.13895121,-1.1624715,0.27515712
34,0.23180039,-1.2974933,-0.31149468,-1.1854479,0.31815252
35,0.23143563,-1.3730128,-0.13744523,-1.1295342,0.29433906
